1,Mohammad,Nabi
2,Afsar,Zazai
3,Aftab,Alam
4,Asghar,Stanikzai
5,Dawlat,Zadran
6,Gulbadin,Naib
7,Hamid,Hassan
8,Javed,Ahmadi
9,Mirwais,Ashraf
10,Najibullah,Zadran
11,Nasir,Jamal
12,Nawroz,Mangal
13,Samiullah,Shenwari
14,Shapoor,Zadran
15,Usman,Ghani
16,Hashmatullah,Shaidi
17,Izatullah,Dawlatzai
18,Shafiqullah,
19,Sharafuddin,Ashraf
20,Michael,Clarke
21,George,Bailey
22,Pat,Cummins
23,Xavier,Doherty
24,James,Faulkner
25,Aaron,Finch
26,Brad,Haddin
27,Josh,Hazlewood
28,Mitchell,Johnson
29,Mitchell,Marsh
30,Glenn,Maxwell
31,Steven,Smith
32,Mitchell,Starc
33,David,Warner
34,Shane,Watson
35,Mashrafe,Mortaza
36,Al-Amin,Hossain
37,Anamul,Haque
38,Arafat,Sunny
39,Mahmudullah,
40,Mominul,Haque
41,Mushfiqur,Rahim
42,Nasir,Hossain
43,Rubel,Hossain
44,Sabbir,Rahman
45,Shakib,Al
46,Soumya,Sarkar
47,Taijul,Islam
48,Tamim,Iqbal
49,Taskin,Ahmed
50,Eoin,Morgan
51,Jos,Buttler
52,Moeen,Ali
53,James,Anderson
54,Gary,Ballance
55,Ian,Bell
56,Ravi,Bopara
57,Stuart,Broad
58,Steven,Finn
59,Alex,Hales
60,Chris,Jordan
61,Joe,Root
62,James,Taylor
63,James,Tredwell
64,Chris,Woakes
65,MS,Dhoni
66,Ravichandran,Ashwin
67,Stuart,Binny
68,Shikhar,Dhawan
69,Ravindra,Jadeja
70,Virat,Kohli
71,Bhuvneshwar,Kumar
72,Mohammed,Shami
73,Axar,Patel
74,Ajinkya,Rahane
75,Suresh,Raina
76,Ambati,Rayudu
77,Mohit,Sharma
78,Rohit,Sharma
79,Umesh,Yadav
80,Ishant,Sharma
81,William,Porterfield
82,Andy,Balbirnie
83,Peter,Chase
84,Alex,Cusack
85,George,Dockrell
86,Ed,Joyce
87,Andy,McBrine
88,John,Mooney
89,Kevin,O'Brien
90,Niall,O'Brien
91,Max,Sorensen
92,Paul,Stirling
93,Stuart,Thompson
94,Gary,Wilson
95,Craig,Young
96,Tim,Murtagh
97,Brendon,McCullum
98,Corey,Anderson
99,Trent,Boult
100,Grant,Elliott
101,Martin,Guptill
102,Tom,Latham
103,Mitchell,McClenaghan
104,Nathan,McCullum
105,Kyle,Mills
106,Adam,Milne
107,Luke,Ronchi
108,Tim,Southee
109,Ross,Taylor
110,Daniel,Vettori
111,Kane,Williamson
112,Misbah-ul-Haq,
113,Ahmed,Shehzad
114,Ehsan,Adil
115,Haris,Sohail
116,Mohammad,Irfan
117,Nasir,Jamshed
118,Rahat,Ali
119,Sarfraz,Ahmed
120,Shahid,Afridi
121,Sohaib,Maqsood
122,Sohail,Khan
123,Umar,Akmal
124,Wahab,Riaz
125,Yasir,Shah
126,Younis,Khan
127,Junaid,Khan
128,Mohammad,Hafeez129,Preston,Mommsen
130,Kyle,Coetzer
131,Richie,Berrington
132,Freddie,Coleman
133,Matthew,Cross
134,Josh,Davey
135,Alasdair,Evans
136,Hamish,Gardiner
137,Majid,Haq
138,Michael,Leask
139,Matt,Machan
140,Calum,MacLeod
141,Safyaan,Sharif
142,Rob,Taylor
143,Iain,Wardlaw
144,AB,de
145,Hashim,Amla
146,Kyle,Abbott
147,Farhaan,Behardien
148,Quinton,de
149,Jean-Paul,Duminy
150,Faf,du
151,Imran,Tahir
152,David,Miller
153,Morne,Morkel
154,Wayne,Parnell
155,Aaron,Phangiso
156,Vernon,Philander
157,Rilee,Rossouw
158,Dale,Steyn
159,Angelo,Mathews
160,Lahiru,Thirimanne
161,Dushmantha,Chameera
162,Dinesh,Chandimal
163,Tillakaratne,Dilshan
164,Rangana,Herath
165,Mahela,Jayawardene
166,Dimuth,Karunaratne
167,Nuwan,Kulasekara
168,Suranga,Lakmal
169,Lasith,Malinga
170,Jeevan,Mendis
171,Thisara,Perera
172,Kumar,Sangakkara
173,Sachithra,Senanayake
174,Dhammika,Prasad
175,Mohammad,Tauqir
176,Amjad,Ali
177,Amjad,Javed
178,Andri,Berenger
179,Fahad,Alhashmi
180,Manjula,Guruge
181,Kamran,Shazad
182,Khurram,Khan
183,Krishna,Chandran
184,Mohammad,Naveed
185,Nasir,Aziz
186,Swapnil,Patil
187,Rohan,Mustafa
188,Saqlain,Haider
189,Shaiman,Anwar
190,Jason,Holder
191,Marlon,Samuels
192,Sulieman,Benn
193,Darren,Bravo
194,Jonathan,Carter
195,Sheldon,Cottrell
196,Chris,Gayle
197,Nikita,Miller
198,Denesh,Ramdin
199,Kemar,Roach
200,Andre,Russell
201,Darren,Sammy
202,Lendl,Simmons
203,Dwayne,Smith
204,Jerome,Taylor
205,Sunil,Narine
206,Elton,Chigumbura
207,Regis,Chakabva
208,Tendai,Chatara
209,Chamu,Chibhabha
210,Craig,Ervine
211,Tafadzwa,Kamungozi
212,Hamilton,Masakadza
213,Stuart,Matsikenyeri
214,Solomon,Mire
215,Tawanda,Mupariwa
216,Tinashe,Panyangara
217,Sikandar,Raza
218,Brendan,Taylor
219,Prosper,Utseya
220,Sean,Williams
